Thu, 22 Jul 2010 20:29:42 +0000
0, 0.940064081007, 0
1, 0.624987699216, 0
2, 0.136804084824, 0
3, 0.269064414733, 0
4, 0.77215631477, 0
5, 0.967834214636, 0
6, 0.924657736535, 0
7, 0.674050004719, 0
8, 0.474166741122, 0
9, 0.687920034242, 0
10, 0.931862015453, 0
11, 0.994527091397, 0
12, 0.999838284136, 0
13, 0.999998242106, 0
14, 0.999999992883, 0
15, 0.999999953477, 0
16, 0.999990910126, 0
17, 0.999346499263, 0
18, 0.982716172409, 0
19, 0.831832742535, 0
20, 0.398038631403, 0
21, 0.206891982514, 0
22, 0.600330040178, 0
23, 0.840432406605, 0
24, 0.858051598093, 0
25, 0.923944337508, 0
26, 0.924424645925, 0
27, 0.692148834486, 0
28, 0.446966669298, 0
29, 0.633740880598, 0
30, 0.910764132506, 0
31, 0.992001697388, 0
32, 0.999729517965, 0
33, 0.999462241662, 0
34, 0.984436581318, 0
35, 0.833306948687, 0
36, 0.343195828916, 0
37, 0.0479498495207, 0
38, 0.492320918967, 0
39, 0.900407620865, 0
40, 0.992757845443, 0
41, 0.997461596131, 0
42, 0.963301176651, 0
43, 0.789004602083, 0
44, 0.553415939949, 0
45, 0.64174486045, 0
46, 0.737180194598, 0
47, 0.343600962944, 0
48, 0.126932263375, 0
49, 0.416967535257, 0
50, 0.851856230069, 0
51, 0.982231195822, 0
52, 0.96711914678, 0
53, 0.923152565425, 0
54, 0.875041163617, 0
55, 0.546316694314, 0
56, 0.0738357911946, 0
57, 0.0266988046752, 0
58, 0.356060797833, 0
59, 0.858064836256, 0
60, 0.983380561381, 0
61, 0.917872326455, 0
62, 0.585142918214, 0
63, 0.226440316607, 0
64, 0.469364064526, 0
65, 0.866092467258, 0
66, 0.987568633319, 0
67, 0.999575440793, 0
68, 0.999994665875, 0
69, 0.999999974849, 0
70, 0.999999805964, 0
71, 0.999972150714, 0
72, 0.998529230633, 0
73, 0.971425371183, 0
74, 0.795768777301, 0
75, 0.463006291062, 0
76, 0.480575487319, 0
77, 0.815046211422, 0
78, 0.971087567325, 0
79, 0.940828545622, 0
80, 0.743168631984, 0
81, 0.578638763803, 0
82, 0.679526844809, 0
83, 0.491165634369, 0
84, 0.111868848597, 0
85, 0.268174079848, 0
86, 0.574932753305, 0
87, 0.869249851521, 0
88, 0.911446146529, 0
89, 0.642402725412, 0
90, 0.370960431128, 0
91, 0.592425891987, 0
92, 0.90284979396, 0
93, 0.991481035582, 0
94, 0.999723232879, 0
95, 0.999806287121, 0
96, 0.993179135622, 0
97, 0.910133772426, 0
98, 0.56442792768, 0
99, 0.223343360213, 0
100, 0.49054760145, 0
101, 0.877062342368, 0
102, 0.989032884111, 0
103, 0.996986364639, 0
104, 0.951923867975, 0
105, 0.680054299407, 0
106, 0.215827962318, 0
107, 0.272018079255, 0
108, 0.516382665675, 0
109, 0.489659293039, 0
110, 0.721796735578, 0
111, 0.942955881943, 0
112, 0.995685638832, 0
113, 0.999879924592, 0
114, 0.99999876591, 0
115, 0.999998608179, 0
116, 0.999844219003, 0
