Fri, 23 Jul 2010 01:11:29 +0000
0, 1.0, 0
1, 1.0, 0
2, 1.0, 0
3, 1.0, 0
4, 1.0, 0
5, 1.0, 0
6, 1.0, 0
7, 1.0, 0
8, 1.0, 0
9, 1.0, 0
10, 1.0, 0
11, 1.0, 0
12, 1.0, 0
13, 1.0, 0
14, 1.0, 0
15, 1.0, 0
16, 1.0, 0
17, 1.0, 0
18, 1.0, 0
19, 1.0, 0
20, 1.0, 0
21, 1.0, 0
22, 1.0, 0
23, 1.0, 0
24, 1.0, 0
25, 1.0, 0
26, 1.0, 0
27, 1.0, 0
28, 1.0, 0
29, 1.0, 0
30, 1.0, 0
31, 1.0, 0
32, 1.0, 0
33, 1.0, 0
34, 1.0, 0
35, 1.0, 0
36, 1.0, 0
37, 1.0, 0
38, 1.0, 0
39, 1.0, 0
40, 1.0, 0
41, 1.0, 0
42, 1.0, 0
43, 1.0, 0
44, 1.0, 0
45, 1.0, 0
46, 1.0, 0
47, 1.0, 0
48, 1.0, 0
49, 1.0, 0
50, 1.0, 0
51, 1.0, 0
52, 1.0, 0
53, 1.0, 0
54, 1.0, 0
55, 1.0, 0
56, 1.0, 0
57, 1.0, 0
58, 1.0, 0
59, 1.0, 0
60, 1.0, 0
61, 1.0, 0
62, 1.0, 0
63, 1.0, 0
64, 1.0, 0
65, 1.0, 0
66, 1.0, 0
67, 1.0, 0
68, 1.0, 0
69, 1.0, 0
70, 1.0, 0
71, 1.0, 0
72, 1.0, 0
73, 1.0, 0
74, 1.0, 0
75, 1.0, 0
76, 1.0, 0
77, 1.0, 0
78, 1.0, 0
79, 1.0, 0
80, 1.0, 0
81, 1.0, 0
82, 1.0, 0
83, 1.0, 0
84, 1.0, 0
85, 1.0, 0
86, 1.0, 0
87, 1.0, 0
88, 1.0, 0
89, 1.0, 0
90, 1.0, 0
91, 1.0, 0
92, 1.0, 0
93, 1.0, 0
94, 1.0, 0
95, 1.0, 0
96, 1.0, 0
97, 1.0, 0
98, 1.0, 0
99, 1.0, 0
100, 1.0, 0
101, 1.0, 0
102, 1.0, 0
103, 1.0, 0
104, 1.0, 0
105, 1.0, 0
106, 1.0, 0
107, 1.0, 0
108, 1.0, 0
109, 1.0, 0
110, 1.0, 0
111, 1.0, 0
112, 1.0, 0
113, 1.0, 0
114, 1.0, 0
115, 1.0, 0
116, 1.0, 0
117, 1.0, 0
118, 1.0, 0
119, 1.0, 0
120, 1.0, 0
121, 1.0, 0
122, 1.0, 0
123, 1.0, 0
124, 1.0, 0
125, 1.0, 0
126, 1.0, 0
127, 1.0, 0
128, 1.0, 0
129, 1.0, 0
130, 1.0, 0
131, 1.0, 0
132, 1.0, 0
133, 1.0, 0
134, 1.0, 0
135, 1.0, 0
136, 1.0, 0
137, 1.0, 0
138, 1.0, 0
139, 1.0, 0
140, 1.0, 0
141, 1.0, 0
142, 1.0, 0
143, 1.0, 0
144, 1.0, 0
145, 1.0, 0
146, 1.0, 0
147, 1.0, 0
148, 1.0, 0
149, 1.0, 0
150, 1.0, 0
151, 1.0, 0
152, 1.0, 0
153, 1.0, 0
154, 1.0, 0
155, 1.0, 0
156, 1.0, 0
157, 1.0, 0
158, 1.0, 0
0, 1.0, 1
1, 1.0, 1
2, 1.0, 1
3, 1.0, 1
4, 1.0, 1
5, 1.0, 1
6, 1.0, 1
7, 1.0, 1
8, 1.0, 1
9, 0.99999999998, 1
10, 0.999999988162, 1
11, 0.999997445363, 1
12, 0.999797193043, 1
13, 0.994076882755, 1
14, 0.936347169247, 1
15, 0.747838969521, 1
16, 0.624651209419, 1
17, 0.724651790158, 1
18, 0.732626685222, 1
19, 0.787472918527, 1
20, 0.931564651936, 1
21, 0.991824149209, 1
22, 0.999640369511, 1
23, 0.999994180069, 1
24, 0.999999965351, 1
25, 0.999999999924, 1
26, 1.0, 1
27, 1.0, 1
28, 0.999999999913, 1
29, 0.999999962083, 1
30, 0.999993900406, 1
31, 0.999639024128, 1
32, 0.99214111504, 1
33, 0.937056743693, 1
34, 0.81454309811, 1
35, 0.7989785887, 1
36, 0.919841507916, 1
37, 0.988215366725, 1
38, 0.998837048341, 1
39, 0.996075908723, 1
40, 0.989354291673, 1
41, 0.989341424992, 1
42, 0.996074156885, 1
43, 0.999468048225, 1
44, 0.999973483445, 1
45, 0.999999513741, 1
46, 0.99999999672, 1
47, 0.999999999992, 1
48, 0.999999999992, 1
49, 0.999999993944, 1
50, 0.999998316462, 1
51, 0.999827839389, 1
52, 0.993523354751, 1
53, 0.910366172582, 1
54, 0.543648700777, 1
55, 0.145263678881, 1
56, 0.411060687173, 1
57, 0.850715592257, 1
58, 0.986079192362, 1
59, 0.999518591583, 1
60, 0.999693171878, 1
61, 0.991377153041, 1
62, 0.909066988825, 1
63, 0.647223715466, 1
64, 0.496519436665, 1
65, 0.735654723161, 1
66, 0.948941750778, 1
67, 0.996372012344, 1
68, 0.999905164443, 1
69, 0.999999088027, 1
70, 0.999999996774, 1
71, 0.999999999996, 1
72, 1.0, 1
73, 0.999999999998, 1
74, 0.999999998215, 1
75, 0.999999473937, 1
76, 0.999942966498, 1
77, 0.997725280954, 1
78, 0.966624252254, 1
79, 0.819847720025, 1
80, 0.642271080377, 1
81, 0.738676679345, 1
82, 0.929487035245, 1
83, 0.983213931324, 1
84, 0.882587704691, 1
85, 0.49029942415, 1
86, 0.184461106834, 1
87, 0.51995587735, 1
88, 0.896050319865, 1
89, 0.991719086124, 1
90, 0.999735617881, 1
91, 0.998809601816, 1
92, 0.976096641131, 1
93, 0.82303590127, 1
94, 0.518033217358, 1
95, 0.517102936404, 1
96, 0.822009206296, 1
97, 0.975865070591, 1
98, 0.998796073305, 1
99, 0.999977906752, 1
100, 0.99999985085, 1
101, 0.99999999963, 1
102, 1.0, 1
103, 1.0, 1
104, 1.0, 1
105, 1.0, 1
106, 1.0, 1
107, 1.0, 1
108, 1.0, 1
109, 1.0, 1
110, 1.0, 1
111, 1.0, 1
112, 1.0, 1
113, 1.0, 1
114, 1.0, 1
115, 1.0, 1
116, 1.0, 1
117, 0.999999999998, 1
118, 0.999999998596, 1
119, 0.99999964165, 1
120, 0.999966354721, 1
121, 0.99883789117, 1
122, 0.985233587691, 1
123, 0.93097463712, 1
124, 0.881300763791, 1
125, 0.92490817343, 1
126, 0.982523964004, 1
127, 0.998503768785, 1
128, 0.999952874028, 1
129, 0.999999432942, 1
130, 0.99999522224, 1
131, 0.999600799096, 1
132, 0.987723463423, 1
133, 0.861111678327, 1
134, 0.421955709441, 1
135, 0.114961776533, 1
136, 0.501485601104, 1
137, 0.895628680599, 1
138, 0.967341018554, 1
